,average,gt_person_count,image_id,matched_0.50,matched_0.55,matched_0.60,matched_0.65,matched_0.70,matched_0.75,matched_0.80,matched_0.85,matched_0.90,matched_0.95
123,0.55,2,1164,2,2,2,2,2,1,0,0,0,0
124,0.25,2,1180,1,1,1,1,1,0,0,0,0,0
125,0.26666666666666666,3,1268,2,2,2,1,1,0,0,0,0,0
126,0.2714285714285714,7,1270,3,3,3,3,2,2,1,1,1,0
127,,0,1290,0,0,0,0,0,0,0,0,0,0
128,0.0,1,1292,0,0,0,0,0,0,0,0,0,0
129,,0,1296,0,0,0,0,0,0,0,0,0,0
130,0.16666666666666666,3,1353,1,1,1,1,1,0,0,0,0,0
131,,0,1436,0,0,0,0,0,0,0,0,0,0
132,0.19999999999999998,6,1554,2,2,2,1,1,1,1,1,1,0
133,0.05,2,1591,1,0,0,0,0,0,0,0,0,0
134,,0,1626,0,0,0,0,0,0,0,0,0,0
135,0.0,2,1667,0,0,0,0,0,0,0,0,0,0
136,0.0,1,1668,0,0,0,0,0,0,0,0,0,0
137,0.06666666666666667,3,1722,1,1,0,0,0,0,0,0,0,0
138,,0,1757,0,0,0,0,0,0,0,0,0,0
139,0.0,2,1960,0,0,0,0,0,0,0,0,0,0
140,0.15,2,2006,2,1,0,0,0,0,0,0,0,0
141,0.475,4,2014,3,3,3,3,3,2,2,0,0,0
142,0.09999999999999999,3,2153,1,1,1,0,0,0,0,0,0,0
143,0.3,2,2171,2,1,1,1,1,0,0,0,0,0
144,0.5,1,2179,1,1,1,1,1,0,0,0,0,0
145,0.23076923076923078,13,2299,7,7,5,5,4,1,1,0,0,0
146,0.4,1,2302,1,1,1,1,0,0,0,0,0,0
147,0.65,2,2473,2,2,2,2,1,1,1,1,1,0
148,0.0,1,2525,0,0,0,0,0,0,0,0,0,0
149,0.13333333333333333,12,2562,4,3,2,2,2,1,1,1,0,0
150,0.3,2,2613,1,1,1,1,1,1,0,0,0,0
151,0.0,1,2685,0,0,0,0,0,0,0,0,0,0
152,,0,2867,0,0,0,0,0,0,0,0,0,0
153,0.625,4,2890,3,3,3,3,3,3,2,2,2,1
154,0.0,1,3103,0,0,0,0,0,0,0,0,0,0
155,0.0,2,3125,0,0,0,0,0,0,0,0,0,0
156,0.45,2,3209,1,1,1,1,1,1,1,1,1,0
157,0.1,1,3326,1,0,0,0,0,0,0,0,0,0
158,0.1285714285714286,7,3378,1,1,1,1,1,1,1,1,1,0
159,0.0,3,3382,0,0,0,0,0,0,0,0,0,0
160,0.2,1,3590,1,1,0,0,0,0,0,0,0,0
161,0.3,3,3693,2,2,2,2,1,0,0,0,0,0
162,0.8,1,3837,1,1,1,1,1,1,1,1,0,0
163,0.2,4,3934,2,2,2,2,0,0,0,0,0,0
164,,0,3938,0,0,0,0,0,0,0,0,0,0
165,,0,3939,0,0,0,0,0,0,0,0,0,0
166,0.36666666666666664,9,3983,5,5,5,5,5,3,2,2,1,0
167,0.625,4,4021,4,4,4,3,3,3,3,1,0,0
168,0.85,2,4066,2,2,2,2,2,2,2,2,1,0
169,0.8,2,4069,2,2,2,2,2,2,2,2,0,0
170,0.1375,8,4134,4,3,1,1,1,1,0,0,0,0
171,,0,4187,0,0,0,0,0,0,0,0,0,0
172,0.0,3,4211,0,0,0,0,0,0,0,0,0,0
173,0.0,1,4243,0,0,0,0,0,0,0,0,0,0
174,,0,4246,0,0,0,0,0,0,0,0,0,0
175,0.4,2,4266,1,1,1,1,1,1,1,1,0,0
176,0.0,2,4312,0,0,0,0,0,0,0,0,0,0
177,,0,4355,0,0,0,0,0,0,0,0,0,0
178,0.09999999999999999,6,4359,1,1,1,1,1,1,0,0,0,0
179,0.6,3,4554,2,2,2,2,2,2,2,2,1,1
180,0.15,10,4576,4,4,4,2,1,0,0,0,0,0
181,0.0,1,4592,0,0,0,0,0,0,0,0,0,0
182,,0,4665,0,0,0,0,0,0,0,0,0,0
183,0.16,5,4700,1,1,1,1,1,1,1,1,0,0
184,0.0,1,4731,0,0,0,0,0,0,0,0,0,0
185,0.3,3,4736,2,2,2,2,1,0,0,0,0,0
186,0.5,1,4840,1,1,1,1,1,0,0,0,0,0
187,,0,4916,0,0,0,0,0,0,0,0,0,0
188,0.0,1,4975,0,0,0,0,0,0,0,0,0,0
189,0.225,8,5001,5,3,2,2,2,2,1,1,0,0
190,,0,5032,0,0,0,0,0,0,0,0,0,0
191,0.0,2,5037,0,0,0,0,0,0,0,0,0,0
192,0.2833333333333333,6,5064,2,2,2,2,2,2,2,2,1,0
193,0.275,8,5107,4,4,3,3,2,2,2,1,1,0
194,,0,5124,0,0,0,0,0,0,0,0,0,0
195,0.05,2,5178,1,0,0,0,0,0,0,0,0,0
196,0.7,1,5193,1,1,1,1,1,1,1,0,0,0
197,,0,5205,0,0,0,0,0,0,0,0,0,0
198,0.9,1,5247,1,1,1,1,1,1,1,1,1,0
199,0.9,1,5325,1,1,1,1,1,1,1,1,1,0
200,,0,136,0,0,0,0,0,0,0,0,0,0
201,0.9,3,192,3,3,3,3,3,3,3,3,3,0
202,0.9666666666666667,3,241,3,3,3,3,3,3,3,3,3,2
203,,0,257,0,0,0,0,0,0,0,0,0,0
204,0.9333333333333332,3,328,3,3,3,3,3,3,3,3,3,1
205,,0,338,0,0,0,0,0,0,0,0,0,0
206,0.85,4,395,4,4,4,4,4,4,4,4,2,0
207,,0,488,0,0,0,0,0,0,0,0,0,0
208,0.7333333333333334,3,536,3,3,3,3,2,2,2,2,1,1
209,,0,544,0,0,0,0,0,0,0,0,0,0
210,1.0,1,564,1,1,1,1,1,1,1,1,1,1
211,0.5,2,692,1,1,1,1,1,1,1,1,1,1
212,0.9,5,761,5,5,5,5,5,5,5,5,4,1
213,1.0,1,764,1,1,1,1,1,1,1,1,1,1
214,,0,810,0,0,0,0,0,0,0,0,0,0
215,0.6,2,872,2,2,1,1,1,1,1,1,1,1
216,0.8,1,885,1,1,1,1,1,1,1,1,0,0
217,1.0,1,969,1,1,1,1,1,1,1,1,1,1
218,,0,974,0,0,0,0,0,0,0,0,0,0
219,,0,985,0,0,0,0,0,0,0,0,0,0
220,0.2,2,999,1,1,1,1,0,0,0,0,0,0
221,0.7999999999999999,6,1000,6,6,6,6,5,5,5,4,4,1
222,0.43333333333333335,6,1149,4,4,3,3,3,3,2,2,2,0
223,,0,1164,0,0,0,0,0,0,0,0,0,0
224,0.9,2,1180,2,2,2,2,2,2,2,2,2,0
225,0.6,1,1268,1,1,1,1,1,1,0,0,0,0
226,0.95,2,1270,2,2,2,2,2,2,2,2,2,1
227,0.39999999999999997,3,1290,2,2,2,2,2,1,1,0,0,0
228,0.8,1,1292,1,1,1,1,1,1,1,1,0,0
229,0.5,2,1296,1,1,1,1,1,1,1,1,1,1
230,0.5,2,1353,2,2,2,1,1,1,1,0,0,0
231,0.65,2,1436,2,2,2,2,2,2,1,0,0,0
232,,0,1554,0,0,0,0,0,0,0,0,0,0
233,,0,1591,0,0,0,0,0,0,0,0,0,0
234,0.85,2,1626,2,2,2,2,2,2,2,2,1,0
235,0.75,2,1667,2,2,2,2,2,1,1,1,1,1
236,0.65,2,1668,2,2,2,1,1,1,1,1,1,1
237,,0,1722,0,0,0,0,0,0,0,0,0,0
238,0.7,2,1757,2,2,2,2,2,1,1,1,1,0
239,0.9,3,1960,3,3,3,3,3,3,3,3,3,0
240,,0,2006,0,0,0,0,0,0,0,0,0,0
241,0.8,1,2014,1,1,1,1,1,1,1,1,0,0
242,1.0,1,2153,1,1,1,1,1,1,1,1,1,1
243,,0,2171,0,0,0,0,0,0,0,0,0,0
244,0.0,1,2179,0,0,0,0,0,0,0,0,0,0
245,,0,2299,0,0,0,0,0,0,0,0,0,0
246,0.7,1,2302,1,1,1,1,1,1,1,0,0,0
247,,0,2473,0,0,0,0,0,0,0,0,0,0
248,0.7,1,2525,1,1,1,1,1,1,1,0,0,0
249,1.0,1,2562,1,1,1,1,1,1,1,1,1,1
250,,0,2613,0,0,0,0,0,0,0,0,0,0
251,0.8400000000000001,5,2685,5,5,5,5,5,5,5,4,2,1
252,0.875,4,2867,4,4,4,4,4,4,4,3,3,1
253,,0,2890,0,0,0,0,0,0,0,0,0,0
254,0.7,1,3103,1,1,1,1,1,1,1,0,0,0
255,,0,3125,0,0,0,0,0,0,0,0,0,0
256,0.9,1,3209,1,1,1,1,1,1,1,1,1,0
257,0.7,1,3326,1,1,1,1,1,1,1,0,0,0
258,0.9,2,3378,2,2,2,2,2,2,2,2,2,0
259,0.7999999999999999,3,3382,3,3,3,3,3,3,2,2,1,1
260,0.8666666666666667,3,3590,3,3,3,3,3,3,3,2,2,1
261,1.0,2,3693,2,2,2,2,2,2,2,2,2,2
262,0.9,1,3837,1,1,1,1,1,1,1,1,1,0
263,0.85,2,3934,2,2,2,2,2,2,2,2,1,0
264,0.8,2,3938,2,2,2,2,2,2,2,1,1,0
265,0.6,3,3939,2,2,2,2,2,2,2,2,1,1
266,,0,3983,0,0,0,0,0,0,0,0,0,0
267,0.9,3,4021,3,3,3,3,3,3,3,3,2,1
268,,0,4066,0,0,0,0,0,0,0,0,0,0
269,,0,4069,0,0,0,0,0,0,0,0,0,0
270,0.6333333333333333,3,4134,2,2,2,2,2,2,2,2,2,1
271,0.7,2,4187,2,2,2,2,1,1,1,1,1,1
272,0.8,1,4211,1,1,1,1,1,1,1,1,0,0
273,1.0,1,4243,1,1,1,1,1,1,1,1,1,1
274,1.0,2,4246,2,2,2,2,2,2,2,2,2,2
275,0.2,1,4266,1,1,0,0,0,0,0,0,0,0
276,0.9,1,4312,1,1,1,1,1,1,1,1,1,0
277,0.45,2,4355,2,2,2,2,1,0,0,0,0,0
278,1.0,1,4359,1,1,1,1,1,1,1,1,1,1
279,1.0,1,4554,1,1,1,1,1,1,1,1,1,1
280,,0,4576,0,0,0,0,0,0,0,0,0,0
281,0.7,1,4592,1,1,1,1,1,1,1,0,0,0
282,0.95,2,4665,2,2,2,2,2,2,2,2,2,1
283,0.7,2,4700,2,2,2,2,2,2,2,0,0,0
284,0.0,1,4731,0,0,0,0,0,0,0,0,0,0
285,0.9,1,4736,1,1,1,1,1,1,1,1,1,0
286,0.9,1,4840,1,1,1,1,1,1,1,1,1,0
287,0.95,2,4916,2,2,2,2,2,2,2,2,2,1
288,0.58,5,4975,4,4,4,4,3,3,3,2,1,1
289,0.54,5,5001,5,5,4,3,3,2,2,2,1,0
290,0.35,2,5032,2,2,1,1,1,0,0,0,0,0
291,,0,5037,0,0,0,0,0,0,0,0,0,0
292,0.8,1,5064,1,1,1,1,1,1,1,1,0,0
293,0.9,1,5107,1,1,1,1,1,1,1,1,1,0
294,0.7,4,5124,4,4,4,4,4,3,2,1,1,1
295,,0,5178,0,0,0,0,0,0,0,0,0,0
296,0.62,5,5193,5,5,5,4,4,3,3,2,0,0
297,0.9,2,5205,2,2,2,2,2,2,2,2,1,1
298,1.0,1,5247,1,1,1,1,1,1,1,1,1,1
299,0.9,1,5325,1,1,1,1,1,1,1,1,1,0
